qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor,LMA_g_m2,N_area_mg_cm2,LAI_m2_m2,C_area_mg_cm2,Chl_area_ug_cm2,EWT_mg_cm2,Car_area_ug_cm2,P_area_mg_cm2,Lignin_mg_cm2,Cellulose_mg_cm2,Fiber_mg_cm2,Anth_area_ug_cm2,NSC_mg_cm2,Mg_area_mg_cm2,Ca_area_mg_cm2,Potassium_area_mg_cm2,Boron_area_mg_cm2,Cu_area_mg_cm2,S_area_mg_cm2,Mn_area_mg_cm2
0.082065195,0.413126516,0.001446813,1.872088539,24.38637578,0.073132968,,,7.49240933,8.273771446,,,,,,,,0.014625076,0.024502818,,,,,
0.06885621,0.346630822,0.000580549,0.751195434,20.65254617,0.063278365,,,0.02924014,8.307537782,,,,,,,,0.011226331,0.030274498,,,,,
0.222333044,1.119252515,0.00175488,2.270708006,0.64579089,0.000711947,,,6.58137847,1.255093767,,,,,,,,0.01300782,0.020092057,,,,,
0.071590692,0.36039655,0.001060843,1.372666975,16.72520654,0.022866536,,,1.83227552,7.994781997,,,,,,,,0.00825293,0.026404937,,,,,
0.063035369,0.317327978,0.000660717,0.854928274,11.10057548,0.019571626,,,2.71666079,6.63025661,,,,,,,,0.004093748,0.086771642,,,,,
0.0744901,0.374992536,0.000748247,0.968186025,2.16858076,0.003378559,,,9.39338698,7.439548829,,,,,,,,0.015171989,0.022907755,,,,,
0.070207328,0.35343252,0.001112044,1.438917168,14.67437589,0.053683249,,,6.96726022,3.958824778,,,,,,,,0.014805837,0.037389815,,,,,
0.06680724,0.336316053,0.000741959,0.96004936,5.18988861,0.007939681,,,3.33002645,6.62032053,,,,,,,,0.009568909,0.02809213,,,,,
0.080750048,0.406505902,0.000980735,1.26901126,18.31965744,0.03336547,,,7.4058101,4.28623013,,,,,,,,0.009683364,0.01287533,,,,,
0.066665232,0.335601166,0.001242459,1.607666204,11.98457327,0.015519644,,,6.60076451,5.87530442,,,,,,,,0.010704506,0.013639642,,,,,
0.068848908,0.346594065,0.000437379,0.565941694,17.82623461,0.045998942,,,5.32197383,2.12261161,,,,,,,,0.00492527,0.020803421,,,,,
0.341948092,1.721409717,0.000465244,0.601997532,6.90390705,0.034853266,,,11.83339423,3.13777029,,,,,,,,0.001295211,0.189315128,,,,,
0.313175321,1.576563966,0.000770181,0.996567947,33.84975491,0.081810112,,,2.74866901,5.86503494,,,,,,,,0.005128854,0.290968458,,,,,
0.07069543,0.355889689,0.000284225,0.367769551,17.8549962,0.039078263,,,1.5431982,4.79069864,,,,,,,,0.014327039,0.012116898,,,,,
0.061703831,0.310624848,0.000489295,0.633117384,17.93990312,0.004797669,,,4.49536241,4.24083553,,,,,,,,0.010879581,0.024410322,,,,,
0.062172711,0.312985249,0.000504106,0.652282894,7.34041954,0.008146051,,,1.24544106,2.33925222,,,,,,,,0.01326221,0.033391276,,,,,
0.056685984,0.285364376,0.000398666,0.515849144,1.64341548,0.008675014,,,9.67900519,9.23270287,,,,,,,,0.006083386,0.022816522,,,,,
0.052422166,0.263899778,0.000469238,0.607164893,9.6940413,0.007434304,,,0.73150652,4.40561903,,,,,,,,0.007448592,0.012430946,,,,,
0.066772223,0.336139769,0.000365764,0.473276261,4.07004522,0.057229949,,,6.16154224,1.86377218,,,,,,,,0.005844608,0.023558834,,,,,
0.072714388,0.36605338,0.000390053,0.504704612,24.60942868,0.047138616,,,6.72241801,0.29886277,,,,,,,,0.002872354,0.007846243,,,,,
0.056645989,0.285163038,0.000840902,1.088076508,28.24255555,0.0268582,,,5.52374674,5.77026562,,,,,,,,0.007081184,0.011787245,,,,,
0.093981117,0.473112767,0.00045231,0.585261453,72.1352174,0.147907638,,,33.23644305,13.49897883,,,,,,,,0.018293251,0.284974231,,,,,
0.07624954,0.383849777,0.000420153,0.54365263,73.6728555,0.151513341,,,18.79033739,33.18680802,,,,,,,,0.019386866,0.141004476,,,,,
0.064242005,0.323402338,0.000355959,0.460589233,22.02812336,0.061974014,,,2.94825777,1.23173746,,,,,,,,0.000323285,0.014939254,,,,,
0.081310451,0.409327041,0.000993341,1.285323153,1.25811672,0.0472638,,,4.97645726,2.16966633,,,,,,,,0.001743261,0.019611542,,,,,
0.078023553,0.392780382,0.001387656,1.795542187,7.59024402,0.06742867,,,17.18285086,5.150619362,,,,,,,,0.005510323,0.013859163,,,,,
0.066662669,0.335588264,0.000662237,0.856894956,0.31845114,0.008167813,,,3.28007637,4.686948694,,,,,,,,0.00695421,0.018124796,,,,,
0.073883951,0.371941104,0.001168221,1.511607281,6.81302494,0.042828824,,,7.94786359,2.13888383,,,,,,,,0.009205559,0.001190052,,,,,
0.081292421,0.409236273,0.002019793,2.613489125,20.85447635,0.045692189,,,5.86318363,2.21207571,,,,,,,,0.005742593,0.009908867,,,,,
