,qu50_dist_EmbLCos,qu50_dist_EmbLCos_nor,qu50_dist_SpCos,qu50_dist_SpCos_nor
0,0.601021156,2.882272094,0.001027822,1.334055392
1,0.601468146,2.884415691,0.001077116,1.398034968
2,0.496262878,2.379890677,0.001319081,1.712091908
3,0.296548009,1.422133052,0.001238465,1.607457837
4,0.341996223,1.640085644,0.001266927,1.644398886
5,0.255187988,1.223785902,0.000449061,0.582856259
6,0.343185127,1.645787182,0.001125753,1.461163546
7,0.384354234,1.843218781,0.001081496,1.403721182
8,0.381410569,1.829102069,0.001080036,1.401825778
9,0.286262661,1.372808382,0.001792222,2.326203002
10,0.286660522,1.374716374,0.001796961,2.332353396
11,0.375691652,1.801676289,0.000722557,0.937838465
12,0.291805208,1.399388356,0.00088492,1.148576512
13,0.330469906,1.584809752,0.000818044,1.061774718
14,0.443570018,2.127195477,0.001377881,1.788410955
15,0.42558071,2.040925503,0.000996798,1.293787715
16,0.23575446,1.130589988,0.000657558,0.853473619
17,0.249100268,1.194591478,0.000636309,0.825893548
18,0.251038313,1.203885615,0.000774235,1.004912579
19,0.231200099,1.10874898,0.000755161,0.980156274
20,0.319264174,1.53107126,0.00070712,0.917801331
21,0.25246954,1.210749242,0.000701487,0.910490484
22,0.430210888,2.063130102,0.001111448,1.442596317
23,0.288421482,1.383161276,0.000994086,1.290267678
24,0.269993335,1.294786794,0.000937581,1.216927124
25,0.286695421,1.374883734,0.000816554,1.059840631
26,0.241756231,1.159372229,0.000840724,1.091211512
27,0.221335948,1.061444209,0.000920147,1.194298313
28,0.210474253,1.009355593,0.00094372,1.224895559
29,0.239120513,1.146732317,0.000966609,1.254603125
30,0.271196067,1.300554647,0.001372337,1.781216153
31,0.431171596,2.067737296,0.002351254,3.051794832
32,0.421643555,2.022044384,0.001094043,1.420006189
33,0.440699428,2.113429206,0.000898927,1.166756924
34,0.32757324,1.570918426,0.001242995,1.613337459
35,0.415523946,1.992697035,0.001022577,1.327247408
36,0.264915586,1.270435811,0.000857621,1.113144051
37,0.262471735,1.258716023,0.001021832,1.326280365
38,0.256933451,1.232156486,0.001340061,1.739323843
39,0.239490777,1.148507964,0.000694841,0.901864459
40,0.631305531,3.027504601,0.000501394,0.650781371
41,0.563349485,2.701612889,0.000509441,0.661225437
42,0.605979204,2.906049036,0.001308769,1.69870803
43,0.646163613,3.09875839,0.001263857,1.640414668
44,0.593537584,2.84638369,0.00083977,1.089973696
45,0.564064845,2.705043488,0.000422418,0.548274795
46,0.546429783,2.620472342,0.000428289,0.555895095
47,0.223163486,1.070208396,0.00066787,0.866857497
48,0.239028484,1.146290978,0.000702709,0.912076435
49,0.231556535,1.110458313,0.000700474,0.909175306
50,0.217089593,1.041080287,0.000881016,1.143509206
51,0.299703658,1.43726636,0.000830352,1.077750271
52,0.298982054,1.43380582,0.001054049,1.368095312
53,0.22764051,1.091678524,0.000874639,1.135231317
54,0.251838982,1.207725325,0.000863105,1.120261488
55,0.236849964,1.135843613,0.000756592,0.982012997
56,0.21797201,1.045312027,0.00071764,0.93145598
57,0.215730458,1.034562385,0.000663728,0.861480737
58,0.530666918,2.544879549,0.000349522,0.453659291
59,0.615516663,2.95178711,0.000847787,1.100379081
60,0.347555935,1.666747941,0.001118779,1.452112022
61,0.239606589,1.149063354,0.00125879,1.633838775
62,0.405420214,1.944243323,0.001053452,1.367321677
63,0.524070576,2.513245968,0.001021057,1.32527464
64,0.477878571,2.291726431,0.00039205,0.508858115
65,0.37913394,1.818184209,0.000451833,0.586453659
66,0.421044111,2.019169676,0.000798136,1.035935324
67,0.398499072,1.91105212,0.000793129,1.029436794
68,0.396853715,1.903161607,0.00110507,1.434318428
69,0.326092988,1.563819695,0.001142234,1.482554541
70,0.289301157,1.387379868,0.001304448,1.69309918
71,0.237821341,1.140501972,0.0007236,0.939192326
72,0.384260774,1.842770582,0.0007613,0.98812471
73,0.261994869,1.256429148,0.000523835,0.679908711
74,0.250071049,1.199246979,0.000683397,0.887010676
75,0.476596981,2.28558041,0.000570416,0.74036825
76,0.263949424,1.265802463,0.00061661,0.800324927
77,0.344798416,1.653523912,0.000729471,0.946812626
78,0.225682408,1.082288201,0.000874132,1.134573727
79,0.221399695,1.061749916,0.000819355,1.063476714
80,0.541282117,2.595786067,0.000927985,1.204471608
81,0.552301466,2.648630733,0.000984609,1.277966888
82,0.231803328,1.111641839,0.000864267,1.121770076
83,0.449074417,2.153592513,0.000832886,1.081038218
84,0.217926115,1.045091929,0.00086388,1.121267213
85,0.22496748,1.078859675,0.001125455,1.460776729
86,0.59688811,2.862451557,0.001601219,2.078291815
87,0.332858235,1.596263279,0.001390874,1.805276188
88,0.631681591,3.029308046,0.001485974,1.928709578
89,0.540010467,2.58968771,0.002155066,2.797153025
90,0.275945663,1.323331929,0.002669752,3.465186446
91,0.223189533,1.070333308,0.002022177,2.624671205
92,0.200543314,0.961730536,0.002072692,2.690236732
93,0.190303832,0.91262582,0.003402174,4.415828563
94,0.227565676,1.09131965,0.003362536,4.364381866
95,0.231696188,1.111128039,0.00190112,2.467546031
96,0.24253875,1.1631249,0.001033515,1.341443602
97,0.27096343,1.299439007,0.001247525,1.619217082
98,0.248720378,1.192769667,0.001493692,1.938728145
99,0.344292641,1.651098403,0.001818269,2.360010831
100,0.542545155,2.60184312,0.001570046,2.037830729
101,0.506854877,2.430685931,0.001415282,1.836956522
102,0.42438677,2.035199812,0.001231551,1.598483676
103,0.434980273,2.086002283,0.001222372,1.586569704
104,0.38676852,1.854796792,0.001856476,2.409600805
105,0.243947417,1.169880335,0.00104779,1.359972149
106,0.270597249,1.29768294,0.000931472,1.20899737
107,0.5980905,2.868217767,0.00100556,1.305160142
108,0.61121586,2.931162072,0.001059979,1.375792975
109,0.284910887,1.366325782,0.002431303,3.15569395
110,0.293487757,1.407457234,0.00144577,1.876527928
111,0.360859632,1.730547484,0.002337515,3.033962556
112,0.223875374,1.073622344,0.001771897,2.299822064
113,0.34016344,1.631296303,0.001800001,2.336298932
114,0.407790005,1.955607953,0.003302634,4.286631595
115,0.445490539,2.136405577,0.001382232,1.794058487
116,0.278760433,1.336830509,0.001081079,1.403179638
117,0.585403174,2.807374111,0.001388729,1.802491103
118,0.377874345,1.812143663,0.001504064,1.952189386
